year,month,region,province,thai_visitors,foreign_visitors,income_from_thai_visitors,income_from_foreign_visitors
2563,มกราคม,ภาคกลาง,กรุงเทพมหานคร,2259097.00,2473725.00,31137.65,57065.24
2563,มกราคม,ภาคกลาง,ลพบุรี,188783.00,2133.00,408.58,4.99
2563,มกราคม,ภาคกลาง,พระนครศรีอยุธยา,282929.00,185761.00,1059.24,403.50
2563,มกราคม,ภาคกลาง,สระบุรี,123787.00,5656.00,310.28,11.58
2563,มกราคม,ภาคกลาง,ชัยนาท,54023.00,513.00,91.09,0.84
2563,มกราคม,ภาคกลาง,นครปฐม,187142.00,10879.00,365.85,15.05
2563,มกราคม,ภาคกลาง,สิงห์บุรี,35109.00,214.00,61.40,0.34
2563,มกราคม,ภาคกลาง,อ่างทอง,73479.00,4698.00,120.59,5.28
2563,มกราคม,ภาคกลาง,นนทบุรี,182633.00,27966.00,385.54,83.50
2563,มกราคม,ภาคกลาง,ปทุมธานี,116657.00,63927.00,208.06,104.25
2563,มกราคม,ภาคกลาง,สมุทรปราการ,89213.00,196786.00,303.53,441.73
2563,มกราคม,ภาคกลาง,สมุทรสาคร,84329.00,421.00,166.41,0.72
2563,มกราคม,ภาคกลาง,ฉะเชิงเทรา,122264.00,3642.00,291.73,4.74
2563,มกราคม,ภาคตะวันตก,ราชบุรี,122819.00,4352.00,439.39,9.97
2563,มกราคม,ภาคตะวันตก,กาญจนบุรี,524705.00,44828.00,2505.21,249.45
2563,มกราคม,ภาคตะวันตก,สมุทรสงคราม,157065.00,3640.00,321.90,6.95
2563,มกราคม,ภาคตะวันตก,สุพรรณบุรี,164644.00,1562.00,466.67,2.43
2563,มกราคม,ภาคตะวันตก,เพชรบุรี,500721.00,64719.00,1704.79,529.44
2563,มกราคม,ภาคตะวันตก,ประจวบคีรีขันธ์,329446.00,115540.00,2376.06,1133.83
2563,มกราคม,ภาคตะวันออก,ชลบุรี,329571.00,969800.00,3927.71,23136.74
2563,มกราคม,ภาคตะวันออก,จันทบุรี,257162.00,7112.00,950.74,49.90
2563,มกราคม,ภาคตะวันออก,ตราด,92557.00,72086.00,826.18,1075.39
2563,มกราคม,ภาคตะวันออก,นครนายก,199829.00,2219.00,803.89,5.78
2563,มกราคม,ภาคตะวันออก,ปราจีนบุรี,102019.00,10936.00,456.38,34.02
2563,มกราคม,ภาคตะวันออก,ระยอง,415288.00,64077.00,1946.11,420.33
2563,มกราคม,ภาคตะวันออก,สระแก้ว,136056.00,30846.00,489.95,90.45
2563,มกราคม,ภาคใต้,ภูเก็ต,294633.00,1405884.00,4450.20,58018.40
2563,มกราคม,ภาคใต้,พัทลุง,93606.00,855.00,180.93,2.68
2563,มกราคม,ภาคใต้,ตรัง,110438.00,23052.00,1019.80,216.93
2563,มกราคม,ภาคใต้,ระนอง,92304.00,6792.00,323.26,46.08
2563,มกราคม,ภาคใต้,ชุมพร,83511.00,10297.00,459.71,50.00
2563,มกราคม,ภาคใต้,ปัตตานี,19015.00,144.00,76.93,0.64
2563,มกราคม,ภาคใต้,ยะลา,8288.00,41038.00,35.24,192.56
2563,มกราคม,ภาคใต้,นครศรีธรรมราช,218609.00,9987.00,1148.46,33.66
2563,มกราคม,ภาคใต้,นราธิวาส,25727.00,38562.00,61.39,168.03
2563,มกราคม,ภาคใต้,กระบี่,209565.00,386054.00,3017.75,9487.55
2563,มกราคม,ภาคใต้,สงขลา,224797.00,284450.00,3896.67,3459.58
2563,มกราคม,ภาคใต้,พังงา,75732.00,361467.00,861.82,5295.09
2563,มกราคม,ภาคใต้,สุราษฎร์ธานี,168436.00,334665.00,1172.06,8680.81
2563,มกราคม,ภาคใต้,สตูล,130525.00,18969.00,1563.93,95.35
2563,มกราคม,ภาคเหนือ,กำแพงเพชร,53773.00,2111.00,143.63,6.72
2563,มกราคม,ภาคเหนือ,เชียงราย,228021.00,62191.00,2547.25,530.70
2563,มกราคม,ภาคเหนือ,เชียงใหม่,530347.00,309958.00,6950.68,4137.18
2563,มกราคม,ภาคเหนือ,พิจิตร,52330.00,570.00,132.54,0.92
2563,มกราคม,ภาคเหนือ,นครสวรรค์,152429.00,6290.00,341.97,8.38
2563,มกราคม,ภาคเหนือ,ตาก,189857.00,5655.00,701.82,20.29
2563,มกราคม,ภาคเหนือ,พิษณุโลก,276914.00,22485.00,898.61,72.96
2563,มกราคม,ภาคเหนือ,พะเยา,53537.00,3463.00,144.28,4.42
2563,มกราคม,ภาคเหนือ,เพชรบูรณ์,174458.00,2103.00,866.59,5.65
2563,มกราคม,ภาคเหนือ,แพร่,56343.00,9294.00,152.77,33.32
2563,มกราคม,ภาคเหนือ,ลำปาง,78082.00,10073.00,276.88,50.74
2563,มกราคม,ภาคเหนือ,ลำพูน,79719.00,6172.00,163.98,11.85
2563,มกราคม,ภาคเหนือ,แม่ฮ่องสอน,74330.00,28588.00,379.01,219.93
2563,มกราคม,ภาคเหนือ,อุตรดิตถ์,90504.00,949.00,249.15,2.08
2563,มกราคม,ภาคเหนือ,อุทัยธานี,72761.00,313.00,138.69,1.08
2563,มกราคม,ภาคเหนือ,สุโขทัย,75373.00,40138.00,192.94,129.89
2563,มกราคม,ภาคเหนือ,น่าน,84997.00,2180.00,330.10,10.78
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,55963.00,471.00,83.67,0.99
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,406262.00,7610.00,1627.70,25.99
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,66384.00,706.00,176.46,1.85
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,นครพนม,104503.00,7122.00,201.52,9.55
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,728203.00,20265.00,2386.07,93.85
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,133846.00,4807.00,331.54,6.95
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,43150.00,1577.00,98.78,1.99
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,159435.00,13116.00,320.79,29.33
2563,มกราคม,ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,66255.00,777.00,111.29,1.64
